iter	Passed	Remaining
0	1052	1050986
1	1054	525973
2	1056	351106
3	1058	263631
4	1061	211203
5	1065	176524
6	1069	151692
7	1071	132863
8	1073	118196
9	1075	106450
10	1077	96874
11	1079	88866
12	1082	82200
13	1084	76403
14	1086	71366
15	1088	66962
16	1090	63071
17	1092	59610
18	1096	56595
19	1098	53826
20	1100	51319
21	1103	49055
22	1105	46967
23	1109	45114
24	1111	43362
25	1114	41742
26	1116	40234
27	1118	38831
28	1120	37523
29	1124	36347
30	1126	35213
31	1128	34143
32	1131	33146
33	1133	32207
34	1136	31333
35	1159	31036
36	1161	30221
37	1163	29449
38	1167	28761
39	1169	28069
40	1171	27405
41	1173	26775
42	1176	26174
43	1178	25614
44	1181	25066
45	1183	24548
46	1186	24048
47	1187	23561
48	1191	23123
49	1193	22681
50	1195	22249
51	1197	21832
52	1199	21431
53	1201	21045
54	1204	20701
55	1207	20348
56	1209	20002
57	1210	19667
58	1212	19344
59	1214	19031
60	1216	18728
61	1220	18469
62	1222	18187
63	1224	17912
64	1226	17644
65	1228	17386
66	1230	17133
67	1233	16911
68	1236	16681
69	1238	16451
70	1240	16227
71	1242	16008
72	1243	15795
73	1245	15589
74	1249	15415
75	1251	15218
76	1253	15026
77	1255	14840
78	1257	14662
79	1259	14487
80	1263	14331
81	1265	14170
82	1266	13996
83	1270	13852
84	1272	13699
85	1274	13548
86	1278	13411
87	1280	13266
88	1281	13121
89	1283	12981
90	1285	12843
91	1287	12710
92	1292	12601
93	1294	12473
94	1296	12347
95	1298	12224
96	1300	12105
97	1302	11989
98	1305	11882
99	1307	11769
100	1309	11657
101	1311	11547
102	1313	11438
103	1315	11333
104	1319	11246
105	1321	11148
106	1323	11048
107	1325	10948
108	1327	10852
109	1329	10756
110	1334	10687
111	1336	10595
112	1338	10504
113	1340	10415
114	1342	10328
115	1344	10246
116	1347	10168
117	1349	10088
118	1351	10008
119	1354	9935
120	1357	9859
121	1358	9778
122	1362	9713
123	1364	9639
124	1366	9566
125	1368	9494
126	1370	9420
127	1372	9351
128	1377	9298
129	1379	9233
130	1381	9164
131	1383	9097
132	1385	9031
133	1387	8966
134	1390	8912
135	1392	8849
136	1394	8786
137	1396	8725
138	1398	8664
139	1400	8605
140	1403	8552
141	1405	8491
142	1407	8434
143	1409	8377
144	1411	8320
145	1413	8269
146	1415	8215
147	1419	8171
148	1421	8119
149	1423	8067
150	1425	8016
151	1427	7965
152	1429	7914
153	1433	7874
154	1435	7825
155	1437	7776
156	1439	7728
157	1441	7679
158	1443	7632
159	1444	7585
160	1446	7540
161	1449	7495
162	1451	7451
163	1452	7406
164	1454	7361
165	1456	7317
166	1458	7273
167	1460	7233
168	1463	7196
169	1465	7153
170	1467	7112
171	1468	7071
172	1471	7031
173	1474	6999
174	1476	6960
175	1478	6921
176	1480	6882
177	1481	6843
178	1483	6805
179	1485	6767
180	1489	6737
181	1490	6701
182	1492	6664
183	1494	6628
184	1496	6592
185	1498	6556
186	1499	6521
187	1503	6492
188	1505	6459
189	1507	6425
190	1508	6391
191	1510	6357
192	1512	6324
193	1514	6291
194	1517	6264
195	1519	6234
196	1521	6203
197	1523	6171
198	1525	6141
199	1527	6110
200	1530	6083
201	1533	6058
202	1535	6029
203	1537	5999
204	1539	5969
205	1541	5940
206	1543	5911
207	1547	5892
208	1549	5865
209	1551	5836
210	1553	5808
211	1555	5780
212	1557	5753
213	1560	5731
214	1562	5705
215	1564	5679
216	1566	5653
217	1568	5627
218	1570	5601
219	1572	5576
220	1575	5555
221	1578	5530
222	1579	5504
223	1581	5479
224	1583	5453
225	1585	5428
226	1587	5407
227	1589	5383
228	1592	5361
229	1594	5337
230	1596	5314
231	1598	5290
232	1600	5268
233	1603	5250
234	1605	5227
235	1607	5203
236	1609	5180
237	1611	5158
238	1612	5135
239	1614	5112
240	1617	5095
241	1619	5073
242	1621	5051
243	1623	5030
244	1625	5007
245	1627	4987
246	1629	4966
247	1632	4950
248	1634	4929
249	1636	4908
250	1637	4887
251	1640	4867
252	1642	4848
